T5,T6,T7,T8,T9,T10,AVGND
4.42,5.5,5.5,3.25,5.5,6.67,LOW
7.75,10,10,7.75,7.75,8.92,HIGH
7.75,8.92,10,10,8.92,10,HIGH
6.67,8.92,7.75,8.92,7.75,6.67,AVERAGE
10,6.67,8.92,8.92,10,8.92,HIGH
8.92,5.5,4.42,7.75,7.75,8.92,AVERAGE
8.92,8.92,7.3,7.75,6.67,9.1,AVERAGE
8.92,6.67,6.67,7.75,7.75,7.75,AVERAGE
5.5,6.67,8.92,6.4,7.75,7.75,AVERAGE
3.25,7.75,5.5,7.75,7.75,4.42,LOW
4.42,4.42,5.5,2.17,3.25,8.92,LOW
6.67,7.75,10,8.92,7.03,5.5,AVERAGE
4.42,3.61,5.5,5.5,7.75,8.92,LOW
4.42,3.7,6.67,6.67,6.67,6.67,LOW
